,addr:city,addr:housenumber,addr:postcode,addr:street,ais,amenity,in:pois,lat,lon,name
4469976492,Fortaleza,320,,Rua Carlos Studart,9,bar,True,-3.7941619,-38.5684461,Espaço Comemore
4469976493,Fortaleza,29,,Rua 2,9,school,True,-3.8006616,-38.5653196,Colégio Universo Kids
4469976494,Fortaleza,1091a,,Avenida Benjamin Brasil,9,fast_food,True,-3.8057408,-38.5646408,Rei do Sanduíche Maraponga
4469976501,Fortaleza,374,,Rua Antônio Divino,9,restaurant,True,-3.8053179,-38.562259,Camarão Do Chef
4469976502,Fortaleza,348,,Rua Antônio Divino,9,pub,True,-3.8054571,-38.5623985,Toquinho´s Bar
4469976507,Fortaleza,550,,Rua S,9,bar,True,-3.8075428,-38.5586314,Garden Buffet Conceito
4469976508,Fortaleza,1685,,Avenida Benjamin Brasil,9,restaurant,True,-3.8078997,-38.5588144,4 Estylo's
4470018463,Fortaleza,10300,,Avenida Bernardo Manuel,9,restaurant,True,-3.8097606,-38.5549236,Churrascaria e Galeteria 2 Irmãos
4470018464,Fortaleza,2358,,Avenida Benjamin Brasil,9,restaurant,True,-3.8093646,-38.5560877,4 Estylos Delivery
4470018472,Fortaleza,549,,Rua Olímpia de Noronha,9,school,True,-3.813486,-38.5593519,José Escolar Portela
4470018473,Fortaleza,879,,Rua Vereadora Zélia Correia de Souza,9,restaurant,True,-3.813486,-38.5575253,Escondidinho do Caranguejo
4470018474,Fortaleza,906,,Rua Vereadora Zélia Correia de Souza,9,restaurant,True,-3.8128584,-38.5573687,Churrascaria Personalidade
4470018475,Fortaleza,10990,,Travessa São José,9,restaurant,True,-3.8143004,-38.5568199,Spettu's Grill Petiscaria
4470092258,Fortaleza,11360,,Avenida Bernardo Manuel,9,school,True,-3.8188955,-38.5578294,E.M.E.I.F. Casimiro Montenegro
4470092274,Fortaleza,2491,,Rua Nova,9,restaurant,True,-3.8438177,-38.5630679,Espetinho do Jefim
4478193792,Fortaleza,850,,Rua Waldir Diogo,9,school,True,-3.8038139,-38.5855692,E.M.E.I.F. Hilza Diogo Cals
4478193793,Fortaleza,1055,,Rua Waldir Diogo,9,school,True,-3.8029566,-38.587774,Colégio Ademir Araújo
4478193797,Fortaleza,3686,,Avenida Cônego de Castro,9,pharmacy,True,-3.7992124,-38.5867332,Pague Menos (Parque São José)
4478193798,Fortaleza,1267,,Rua Doutor João Amora,9,restaurant,True,-3.799756,-38.5849891,Pizzaria Sabor da Pizza
4809975826,,1760,,Avenida João de Araujo Lima,9,restaurant,True,-3.8371756,-38.5616591,Canto da Pizza
5135421546,,,,Avenida G,9,fast_food,True,-3.8374013,-38.5595044,Açai do Patrão
5135556246,Fortaleza,130,,Avenida J,9,pharmacy,True,-3.8260513,-38.5542731,Farmácia Nordeste
5135565323,Fortaleza,480,,Avenida E,9,ice_cream,True,-3.8339283,-38.558294,Soft Plus
5135585178,Fortaleza,731,,Avenida G,9,fast_food,True,-3.8373663,-38.5607981,Esquina do Pastel
5145702984,Fortaleza,1260,60763-730,Avenida Contorno Norte,9,school,True,-3.8131876,-38.5882789,Colégio Teleyos
5149989754,Fortaleza,72,,Rua Fenando F. de Melo,9,fast_food,True,-3.7908476,-38.578285,Thiago Lanches Pizzaria
5150945983,Fortaleza,110,60763-590,Rua 110,9,school,True,-3.8108271,-38.5914075,Centro Educacional São Matheus
5150953234,Fortaleza,120,60763-540,Rua 105,9,school,True,-3.8127937,-38.589742,Colégio Queiroz Belém
5156235840,Fortaleza,301,,Rua 4,9,pub,True,-3.80252,-38.5628492,Bar Recanto dos Amigos
5156243832,Fortaleza,385,,Rua 1,9,pub,True,-3.8035822,-38.5638836,Pub dos Ingleses
5156309388,Fortaleza,,,Rua Rosa Cruz,9,ice_cream,True,-3.8002306,-38.5649504,Tropical Açaí
5156320660,Fortaleza,,,Avenida Benjamin Brasil,9,restaurant,True,-3.8081516,-38.5580483,Camarão D'ellas
5156341787,Fortaleza,286,,Rua Vidal de Negreiros,9,fast_food,True,-3.7992583,-38.5642519,Pizzaria Top Família
5198676622,,105,,Rua Luís Vieira,9,restaurant,True,-3.7975537,-38.5861166,Pizzaria El Patron
5226479552,Fortaleza,90,,Rua Oscar Benevides,9,restaurant,True,-3.8102689,-38.5732402,Rancho do Poço
5300071988,Fortaleza,,,Avenida Penetração Oeste,9,school,True,-3.815105,-38.5893562,EEEFM Adalgisa Bonfim Soares
5300072261,fortaleza,,,Avenida Contorno Sul,9,cafe,True,-3.8178622,-38.5900026,Clarita Coffee
5300072262,fortaleza,,,Avenida Contorno Sul,9,restaurant,True,-3.8183889,-38.5895791,Bom D+
5300072263,fortaleza,,,Avenida Contorno Sul,9,restaurant,True,-3.818446,-38.5894553,Yuki Sushi Bar
5300072264,fortaleza,,,Avenida F,9,pharmacy,True,-3.8182096,-38.5893153,Farmacia Pró-Saude
5300072265,fortaleza,,,Avenida Contorno Sul,9,bank,True,-3.8178602,-38.5900454,Caixa do Banco 24hs.
5300072266,fortaleza,35,,Avenida A,9,restaurant,True,-3.8177095,-38.588998,Central Da Pizza
5300072267,fortaleza,102-104,,Avenida A,9,restaurant,True,-3.8161985,-38.5897126,Churrascaria E Pizzaria Cantinho Do Céu
6296298285,Fortaleza,249,60751290,Rua H,9,restaurant,True,-3.8330167,-38.548638,Delícia Paulista
487846760,,1545,,Avenida Contorno Norte,9,pharmacy,True,-3.811596079504105,-38.58982911371829,Drogaria Fortaleza
531147238,Fortaleza,70,,Rua 10,9,school,True,-3.800532987951919,-38.564092045680674,Colégio Universo do Saber
543880081,Fortaleza,,,Avenida Cônego de Castro,9,school,True,-3.8076528698738064,-38.59330484796619,EEEP Darcy Ribeiro
552629121,Fortaleza,,60764-280,Rua 105,9,restaurant,True,-3.808216826387444,-38.590570932131165,Autos Lanches
558000144,Fortaleza,850,60.764-020,Rua Waldir Diogo,9,school,True,-3.803880866754299,-38.58556165306015,EMEIF Hilza Diogo Cals
558075165,Fortaleza,4055,,Avenida Cônego de Castro,9,school,True,-3.8017199633547207,-38.588532060662715,E.E.F.M. Irmão Urbano González Rodriguez
564834979,Fortaleza,s/n,,Rua 11,9,school,True,-3.7992932412017533,-38.56296994728699,E.M.E.I.F. João Estanislau Façanha
668486641,Fortaleza,,,Rua José Dantas Pereira,9,school,True,-3.82113948429936,-38.60853920124829,Escola Municipal Jornalista Demócrito Dummar
668507875,Fortaleza,2381,60713-305,Avenida Cônego de Castro,9,school,True,-3.820890574415835,-38.603260145109346,ETI Professora José Maria Ferreira Gome
679299393,,,60734290,Rua Pedestre XIII,9,school,True,-3.8174943153425676,-38.602014051388856,COLÉGIO PADRE ANTÔNIO MONTEIRO DA CRUZ
7837318,Fortaleza,1732,,Avenida Godofredo Maciel,9,restaurant,True,-3.7936688999999997,-38.56913836666667,Galeteria Dois Irmãos
7837323,Fortaleza,2106,60710-000,Avenida Godofredo Maciel,9,school,True,-3.7938599999999996,-38.56987683333333,Colégio Provecto
8846741,Fortaleza,435,,Avenida C,9,school,True,-3.8293194052107875,-38.55568027297912,E.E.M. Professor Otávio Terceiro de Farias
8846743,Fortaleza,380,60750-830,Avenida D,9,school,True,-3.8313731646648828,-38.55622680827342,Minha vida meus amores
8846751,Fortaleza,s/n,,Avenida C,9,school,True,-3.829486133333333,-38.55706273333334,E.M.E.I.F. Rachel de Queiroz
8846757,Fortaleza,440,,Avenida D,9,hospital,True,-3.8311215464835815,-38.55700881390565,Hospital Distrital Gonzaga Mota José Walter
4470676509,Fortaleza,283,,Avenida Ministro Albuquerque Lima,2,bar,True,-3.7677491,-38.6085619,Marta´s Buffet
4470676510,Fortaleza,353,,Avenida Ministro Albuquerque Lima,2,school,True,-3.7679722,-38.6082013,Colegio Evandro
4470676512,Fortaleza,780,,Avenida (B) Alanis Maria Laurindo de Oliveira,2,pharmacy,True,-3.7684475,-38.6075254,Droga Nova Farmácia
4470676516,Fortaleza,423,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7686276,-38.607612,Espetinho do Eudênio
4470676520,Fortaleza,101,,Avenida Ministro Albuquerque Lima,2,pub,True,-3.7674279,-38.6098113,Zequinha Bar
4470676521,Fortaleza,90,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.767114,-38.6102765,Chapolin Pizzaria
4470682641,Fortaleza,407,,Avenida Ministro Albuquerque Lima,2,fast_food,True,-3.7683572,-38.6076922,Pastel na Hora
4470682644,Fortaleza,344,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7684322,-38.6081227,Boteco do Camarão
4470747573,Fortaleza,80,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7669428,-38.610496,Totta Comida Regional
4470747580,Fortaleza,131,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7668739,-38.6098625,Ponto do Pastel Lanchonete
4470747583,Fortaleza,267,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7674707,-38.6086291,Varandão Churrascaria e Pizzaria
4470747584,Fortaleza,s/n,,Avenida C,2,restaurant,True,-3.7662604,-38.6107912,Manos Churrascaria
4470747586,Fortaleza,125,,Rua 202 A,2,restaurant,True,-3.7670265,-38.6084313,Labella Pizza
4470747587,Fortaleza,630,,Rua 218,2,restaurant,True,-3.7665346,-38.6082557,Vava Pastel
4470747588,Fortaleza,400,,Rua 218,2,restaurant,True,-3.7646807,-38.6075224,Skina Do Espetinho
4470790520,Fortaleza,121,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7668046,-38.6101267,Maacho!! Burgers
4470790521,Fortaleza,66,,Rua 151,2,school,True,-3.7693186,-38.6074741,Auto Escola Omega
4470790524,Fortaleza,610,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.769773,-38.6069067,Ceviche Sushi
4470790525,Fortaleza,116,,Rua 151,2,school,True,-3.7697986,-38.6068133,Qi Educação Profissional
4470864229,Fortaleza,738,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7701504,-38.6062693,Imperador Pizzariae Lanchonete
4470864231,Fortaleza,804,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7704749,-38.6057763,Sabor Doces e Salgados
4470864232,,,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7705479,-38.6055791,Japamania Conjunto Ceará
4470864234,Fortaleza,848,,Avenida Ministro Albuquerque Lima,2,bar,True,-3.7705986,-38.6054348,Tô em Casa
4470864237,Fortaleza,958,,Rua 723,2,pharmacy,True,-3.7709632,-38.6042975,Pague Menos
4470869070,Fortaleza,999,,Avenida Ministro Albuquerque Lima,2,fast_food,True,-3.7706501,-38.6039086,HB Lanches
4470869071,Fortaleza,1009,,Avenida Ministro Albuquerque Lima,2,fast_food,True,-3.7706782,-38.6036886,Hang Lanches Conjunto Ceará
4470870033,Fortaleza,999,,Avenida Ministro Albuquerque Lima,2,restaurant,True,-3.7706635,-38.6037972,Nory Sushi
4470872727,Fortaleza,,,Avenida A,2,pharmacy,True,-3.7701201,-38.6046944,Extrafarma
4471387732,Fortaleza,951,,Avenida A,2,pharmacy,True,-3.7686334,-38.6039193,Baratão dos Medicamentos
4477509340,Fortaleza,2315,,Avenida H,2,restaurant,True,-3.7769074,-38.6189348,Oxente Restô
4477509349,Fortaleza,s/n,,Avenida H,2,pub,True,-3.7766933,-38.6194363,Bar do Morais
4477509350,Fortaleza,s/n,,Rua 928,2,school,True,-3.7768378,-38.6206138,Marinheiro Popeye Baby
4477561842,Fortaleza,1679,,Avenida C,2,fast_food,True,-3.7730464,-38.6152994,Pastelaria O Francisco
4477561843,Fortaleza,1979,,Avenida C,2,restaurant,True,-3.7761599,-38.6161959,Casa do Camarão (Conjunto Ceará)
4477589838,Fortaleza,s/n,,Rua 329,2,restaurant,True,-3.7719126,-38.6133427,Rafa Spettus
4477665581,Fortaleza,s/n,,Avenida C,2,bar,True,-3.7662958,-38.6116347,Espaço Verde (Conjunto Ceará)
4477780808,Fortaleza,2959,,Rua Vital Brasil,2,fast_food,True,-3.7756456,-38.6077898,Bebelu (Conjunto Ceará)
4477821485,Fortaleza,60,,Rua 842,2,restaurant,True,-3.7704981,-38.6027982,Rosinha dos Pratim
4477821486,Fortaleza,198,,Rua 834,2,restaurant,True,-3.7693312,-38.603324,Marmitaria Irmã Ivone
4477889787,Fortaleza,901,,Avenida H,2,bank,True,-3.7753479,-38.6056588,Caixa Econômica Federal (Conjunto Ceará)
4477889891,Fortaleza,s/n,,Avenida A,2,post_office,True,-3.7755518,-38.6058763,Correios (Granja Portugal)
4477970076,Fortaleza,550,,Rua Duas Nações,2,school,True,-3.7771012,-38.6019506,E.M.E.I.F. Conceição Mourão
4477970083,Fortaleza,1055,,Rua Duas Nações,2,school,True,-3.7814274,-38.603164,E.M.E.I.F. Creusa do Carmo Rocha
4477970084,Fortaleza,1175,,Rua Teodoro de Castro,2,school,True,-3.7810527,-38.6013347,E.M.E.I.F. Reitor Antônio Martins Filho
4477970085,Fortaleza,s/n,,Rua Antônio Nelis,2,school,True,-3.7819412,-38.6015869,Casa Brasil
4477971993,Fortaleza,1734,,Rua Emílio de Menezes,2,pharmacy,True,-3.7790209,-38.5966136,Farmácia Carvalho
4477971995,Fortaleza,1775,,Rua Emílio de Menezes,2,pharmacy,True,-3.7789114,-38.5970872,Farmácia Oficial
4560890314,,390,,Rua 725,2,restaurant,True,-3.7716159,-38.6032904,Doce Desejo Sorveteria
4743623486,Fortaleza,711,60533-690,Avenida B,2,post_office,True,-3.7683045,-38.6061245,Agência de Correios
4873152176,,3794,,Rua Manuel Galdino,2,school,True,-3.789858,-38.6253343,Escola Sonho de Criança
4873166749,,3311,,Rua Martins Carvalho,2,restaurant,True,-3.7894346,-38.6245625,Restaurante Cavalcante
4873166751,,2013,,Rua Sargento João Pinheiro,2,restaurant,True,-3.7893062,-38.624533,Girassol Delicatessen
5120698315,Fortaleza,,60540282,Rua Coronel João Correia,2,restaurant,True,-3.7862491,-38.6227804,Churrasco do Eudes
5283074225,Fortaleza - CE,1040,60544-311,Rua Urucutuba,2,restaurant,True,-3.7969314,-38.6040281,#BOM AÇAI
369602609,,240,,Rua 614,2,school,True,-3.764842100663752,-38.60452642783079,Colégio Valdemir Martins
386663870,Fortaleza,633,,Avenida Ministro Albuquerque Lima,2,fast_food,True,-3.7695471000000005,-38.6064257,Bar Esquina do Baião
386732265,Fortaleza,s/n,60531-700,Rua 717,2,school,True,-3.7728748936449295,-38.601231410175444,EEEP Professor César Campelo
388091187,Fortaleza,,,Rua 1191,2,pharmacy,True,-3.770191819965097,-38.616717712133834,Farmácia Jacqueline
388091190,Fortaleza,s/n,,Rua 1052,2,fast_food,True,-3.7654497,-38.613473400000004,Piazza Milk Show
388143030,Fortaleza,91,,Rua 218 A,2,ice_cream,True,-3.7639269814120464,-38.60756889751362,Ki Sorvetão
388150963,Fortaleza,44,,Avenida F,2,pharmacy,True,-3.7629755806599605,-38.60930154690161,Farmácia Iolanda
388150966,Fortaleza,174,,Avenida F,2,school,True,-3.7634938754568146,-38.60827353794355,Colégio Centro Educacional 9 de Junho
388150969,Fortaleza,376,60533-642,Avenida F,2,cafe,True,-3.7641990693147958,-38.60632930645417,BooKafé
388150970,Fortaleza,410,,Avenida F,2,restaurant,True,-3.764260226011823,-38.60598253333333,Cantinho do Camarão
388150973,Fortaleza,353,60533-690,Avenida Ministro Albuquerque Lima,2,school,True,-3.7678404851316034,-38.60801880200937,Centro Educacional Evandro Ayres de Moura
388168410,Fortaleza,885,,Avenida Ministro Albuquerque Lima,2,bank,True,-3.7703579266051963,-38.60477059731901,Banco do Brasil (Conjunto Ceará)
388168413,Fortaleza,1008,,Avenida A,2,bank,True,-3.7699319803444857,-38.60468768487568,Bradesco (Conjunto Ceará)
547145512,,,,Rua Canal Leste,2,school,True,-3.8019605817750963,-38.614372038257585,Escola Edilson Brasil Soares
661248670,Fortaleza,360,60531-760,Rua 729,2,school,True,-3.7724581580307373,-38.60377204120727,Colégio Cora Coralina
5701008,Fortaleza,,60533-540,Rua 1159,2,school,True,-3.762265466666667,-38.61199523333333,EMEIF Ademar Nunes Batista
5704545,Fortaleza,s/n,,Rua 1074,2,school,True,-3.76883355,-38.61515345000001,E.E.F.M. Professor Edmilson Guimarães de Almeida (UV10)
